WordItem,OldNew,ItemType,trialsStudy1.thisRepN,trialsStudy1.thisTrialN,trialsStudy1.thisN,trialsStudy1.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textBlank500.started,textBlank500.stopped,textStudyWord.started,textStudyWord.stopped,textWaitScreen.started,textWaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.started,keyWaitScreen.stopped,textTestWord.started,textTestWord.stopped,keyTest_yes_no.keys,keyTest_yes_no.rt,keyTest_yes_no.started,keyTest_yes_no.stopped,textEnd.started,textEnd.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,SONA_ID,date,expName,psychopyVersion,frameRate,
COBRA,Old,CW,,,,,0,9,9,11,,,,,,,75.86437619998469,None,,,,,,,,,75.76438159999088,None,n,0.05915300000924617,75.76438159999088,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
ENGINEER,Old,Occupations,,,,,0,10,10,7,,,,,,,76.49844329999178,None,,,,,,,,,76.36474729998736,None,y,0.09030099998926744,76.36474729998736,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
RATTLESNAKE,New,CWLure,,,,,0,11,11,19,,,,,,,77.16536809998797,None,,,,,,,,,76.99916469998425,None,n,0.10356150000006892,76.99916469998425,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
LAWYER,Old,Occupations,,,,,0,12,12,1,,,,,,,77.79948849999346,None,,,,,,,,,77.66588829999091,None,y,0.0848579999874346,77.66588829999091,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
PROFESSOR,Old,Occupations,,,,,0,13,13,2,,,,,,,78.46719819999998,None,,,,,,,,,78.29993639999884,None,n,0.10688879998633638,78.29993639999884,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
NURSE,Old,Occupations,,,,,0,14,14,6,,,,,,,79.13442089999444,None,,,,,,,,,78.96739829998114,None,y,0.1038434999936726,78.96739829998114,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
TEACHER,Old,Occupations,,,,,0,15,15,4,,,,,,,79.76880959997652,None,,,,,,,,,79.63454009999987,None,n,0.09241599999950267,79.63454009999987,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
DENTIST,New,RelLure,,,,,0,16,16,14,,,,,,,80.46932139998535,None,,,,,,,,,80.26815369998803,None,y,0.14664019999327138,80.26815369998803,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
REDDEN,New,UnrelLure,,,,,0,17,17,21,,,,,,,81.0690832999826,None,,,,,,,,,80.96926869999152,None,n,0.06148040000698529,80.96926869999152,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
CARPENTER,Old,Occupations,,,,,0,18,18,8,,,,,,,81.73730929999147,None,,,,,,,,,81.56974919998902,None,y,0.11702529998729005,81.56974919998902,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
DETECTIVE,New,RelLure,,,,,0,19,19,15,,,,,,,82.33751459998894,None,,,,,,,,,82.23738829998183,None,n,0.06584709999151528,82.23738829998183,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
ANACONDA,New,CWLure,,,,,0,20,20,17,,,,,,,82.97155309998197,None,,,,,,,,,82.83775889998651,None,y,0.08934720000252128,82.83775889998651,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
THUT,New,UnrelLure,,,,,0,21,21,20,,,,,,,83.60515210000449,None,,,,,,,,,83.47233239997877,None,n,0.08641620000707917,83.47233239997877,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
BOA,New,CWLure,,,,,0,22,22,18,,,,,,,84.23976599998423,None,,,,,,,,,84.10548609998659,None,y,0.06927449998329394,84.10548609998659,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
PLUMBER,Old,Occupations,,,,,0,23,23,10,,,,,,,84.840312299988,None,,,,,,,,,84.7401991999941,None,n,0.06663889999617822,84.7401991999941,None,,,,,,,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.3403166999924,None,space,1.8185508000024129,85.3403166999924,None,12345,2020_Jun_08_1556,Example_Experiment,2020.1.3,29.94903273587624,
