"StartTime","internal_node_id","phase","rt","subject","time_elapsed","trial_index","trial_type","url","key_press","stimulus","success","fullscreen","responses","colour","cor_response","correct","stim_type","word"
1586368621795,"0.0-6.0-3.0","Survey",2960.62499999243,"4a1oroa3xyqhwk5",34462,20,"survey-text",NA,NA,NA,NA,TRUE,"{""Par_ID"":""brad""}",NA,NA,NA,NA,NA
1586368621795,"0.0-7.0",NA,NA,"4a1oroa3xyqhwk5",35466,21,"fullscreen",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
1586369480944,"0.0-0.0","Consent",3173.12500000116,"6ns4bpjjb6lyst0",4769,0,"external-html","forms/consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1586369480944,"0.0-2.0","Welcome",725.634999995236,"6ns4bpjjb6lyst0",5550,1,"html-keyboard-response",NA,68,"<p>Welcome to the experiment. This experiment should take no longer than 5 minutes.</p> <p>Press any key to begin.</p>",NA,NA,NA,NA,NA,NA,NA,NA
1586369480944,"0.0-3.0",NA,NA,"6ns4bpjjb6lyst0",11928,2,"fullscreen",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
1586369480944,"0.0-4.0-0.0","Instructions",1714.70000001136,"6ns4bpjjb6lyst0",13646,3,"html-keyboard-response",NA,74,"<p>Please read these instructions carefully.</p><p>In this 'experiment' you will be presented with words in coloured text. You will be identifying the colour of that text by pressing keys on the keyboard. J = Red, K = Yellow, L = Green. Please use just your dominant hand to make responses. Also, when prompted to provide a word, respond by typing in the word 'clean'. You will have 2 seconds to respond to each stimuli.</p><p>Press any key to begin.</p>",NA,TRUE,NA,NA,NA,NA,NA,NA
1586369480944,"0.0-4.0-1.0","Attention_Check",1024.34999999241,"6ns4bpjjb6lyst0",15688,4,"survey-text",NA,NA,NA,NA,TRUE,"{""Attention_check"":""clean""}",NA,NA,NA,NA,NA
1586369480944,"0.0-5.0-0.0","Practice",1203.82499998959,"6ns4bpjjb6lyst0",17902,5,"html-keyboard-response",NA,74,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>MONTH</p>",NA,NA,NA,"red","j",TRUE,"Practice","MONTH"
1586369480944,"0.0-5.0-0.1","Practice",284.610000002431,"6ns4bpjjb6lyst0",18190,6,"html-keyboard-response",NA,75,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>MONTH</p>",NA,NA,NA,"yellow","k",TRUE,"Practice","MONTH"
1586369480944,"0.0-5.0-0.2","Practice",261.155000000144,"6ns4bpjjb6lyst0",18454,7,"html-keyboard-response",NA,76,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>MONTH</p>",NA,NA,NA,"green","l",TRUE,"Practice","MONTH"
1586369480944,"0.0-5.0-0.3","Practice",NA,"6ns4bpjjb6lyst0",20458,8,"html-keyboard-response",NA,NA,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>UNDER</p>",NA,NA,NA,"red","j",FALSE,"Practice","UNDER"
1586369480944,"0.0-5.0-0.4","Practice",NA,"6ns4bpjjb6lyst0",22461,9,"html-keyboard-response",NA,NA,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>UNDER</p>",NA,NA,NA,"yellow","k",FALSE,"Practice","UNDER"
1586369480944,"0.0-5.0-0.5","Practice",1.42499999492429,"6ns4bpjjb6lyst0",22466,10,"html-keyboard-response",NA,76,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>UNDER</p>",NA,NA,NA,"green","l",TRUE,"Practice","UNDER"
1586369480944,"0.0-5.0-0.6","Practice",522.205000001122,"6ns4bpjjb6lyst0",22990,11,"html-keyboard-response",NA,74,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>PLATE</p>",NA,NA,NA,"red","j",TRUE,"Practice","PLATE"
