"rt","url","phase","trial_type","trial_index","time_elapsed","internal_node_id","subject","StartTime","stimulus","key_press","success","fullscreen","responses","word","colour","cor_response","stim_type","correct"
"null","","Fixation","html-keyboard-response",24,125328,"0.0-6.0-0.6","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"214.55000000423752","","Practice","html-keyboard-response",25,125544,"0.0-6.0-1.6","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>MONTH</p>","74","","","","MONTH","green","l","Practice","false"
"null","","Feedback","html-keyboard-response",26,126548,"0.0-6.0-2.6","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",27,126800,"0.0-6.0-0.7","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"125.31000000308268","","Practice","html-keyboard-response",28,126928,"0.0-6.0-1.7","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>UNDER</p>","74","","","","UNDER","yellow","k","Practice","false"
"null","","Feedback","html-keyboard-response",29,127932,"0.0-6.0-2.7","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",30,128184,"0.0-6.0-0.8","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"244.32499999238644","","Practice","html-keyboard-response",31,128431,"0.0-6.0-1.8","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>PLATE</p>","74","","","","PLATE","yellow","k","Practice","false"
"null","","Feedback","html-keyboard-response",32,129434,"0.0-6.0-2.8","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",33,129687,"0.0-6.0-0.9","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"127.28500000957865","","Practice","html-keyboard-response",34,129816,"0.0-6.0-1.9","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>MONTH</p>","74","","","","MONTH","red","j","Practice","true"
"null","","Feedback","html-keyboard-response",35,129822,"0.0-6.0-2.9","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",36,130075,"0.0-6.0-0.10","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"171.49500000232365","","Practice","html-keyboard-response",37,130248,"0.0-6.0-1.10","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>PLATE</p>","74","","","","PLATE","red","j","Practice","true"
"null","","Feedback","html-keyboard-response",38,130256,"0.0-6.0-2.10","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",39,130509,"0.0-6.0-0.11","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"72.440000003553","","Practice","html-keyboard-response",40,130585,"0.0-6.0-1.11","7ogh73t398s9bdp",1588023009968,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>MONTH</p>","74","","","","MONTH","yellow","k","Practice","false"
"null","","Feedback","html-keyboard-response",41,131588,"0.0-6.0-2.11","7ogh73t398s9bdp",1588023009968,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>","null","","","","","","","",""
"2802.7900000015507","","Survey","survey-text",42,134401,"0.0-7.0-0.0-0.0","7ogh73t398s9bdp",1588023009968,"","","","true","{""Par_Age"":""20""}","","","","",""
"2371.769999997923","","Survey","survey-html-form",43,136778,"0.0-7.0-1.0","7ogh73t398s9bdp",1588023009968,"","","","true","{""Gender_Q"":""Male"",""other_gender_fill_in"":""""}","","","","",""
"1891.3399999873945","","Survey","survey-html-form",44,138673,"0.0-7.0-2.0","7ogh73t398s9bdp",1588023009968,"","","","true","{""Country_Q"":""Canada"",""other_country_fill_in"":""""}","","","","",""
"2216.46999999939","","Survey","survey-text",45,140898,"0.0-7.0-3.0","7ogh73t398s9bdp",1588023009968,"","","","true","{""Par_ID"":""more junk""}","","","","",""
"","","","fullscreen",46,141901,"0.0-8.0","7ogh73t398s9bdp",1588023009968,"","","true","","","","","","",""
"15219.444999995176","forms/consent.html","Consent","external-html",0,16216,"0.0-0.0","spgjb2swaq9anlz",1588022879776,"","","","","","","","","",""
"1434.6399999922141","","Welcome","html-keyboard-response",1,17767,"0.0-2.0","spgjb2swaq9anlz",1588022879776,"<p>Welcome to the experiment. This experiment should take no longer than 5 minutes.</p> <p>Press any key to begin.</p>","74","","","","","","","",""
"","","","fullscreen",2,24207,"0.0-3.0","spgjb2swaq9anlz",1588022879776,"","","true","","","","","","",""
"665.8649999881163","","Instructions","html-keyboard-response",3,24877,"0.0-4.0-0.0","spgjb2swaq9anlz",1588022879776,"<p>Please read these instructions carefully.</p><p>In this 'experiment' you will be presented with words in coloured text. You will be identifying the colour of that text by pressing keys on the keyboard. J = Red, K = Yellow, L = Green. Please use just your dominant hand to make responses. Also, when prompted to provide a word, respond by typing in the word 'clean'. You will have 2 seconds to respond to each stimuli.</p><p>Press any key to begin.</p>","75","","true","","","","","",""
"2528.5449999937555","","Attention_Check","survey-text",4,28415,"0.0-4.0-1.0","spgjb2swaq9anlz",1588022879776,"","","","true","{""Attention_check"":""clean""}","","","","",""
"null","","Fixation","html-keyboard-response",5,32171,"0.0-5.0","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",6,32424,"0.0-6.0-0.0","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"873.2449999952223","","Practice","html-keyboard-response",7,33301,"0.0-6.0-1.0","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>UNDER</p>","76","","","","UNDER","green","l","Practice","true"
"null","","Feedback","html-keyboard-response",8,33309,"0.0-6.0-2.0","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",9,33562,"0.0-6.0-0.1","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"575.8999999961816","","Practice","html-keyboard-response",10,34141,"0.0-6.0-1.1","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>CLOCK</p>","75","","","","CLOCK","yellow","k","Practice","true"
"null","","Feedback","html-keyboard-response",11,34149,"0.0-6.0-2.1","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",12,34404,"0.0-6.0-0.2","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"526.769999996759","","Practice","html-keyboard-response",13,34933,"0.0-6.0-1.2","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>MONTH</p>","74","","","","MONTH","red","j","Practice","true"
"null","","Feedback","html-keyboard-response",14,34938,"0.0-6.0-2.2","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",15,35192,"0.0-6.0-0.3","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"530.8750000112923","","Practice","html-keyboard-response",16,35725,"0.0-6.0-1.3","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>PLATE</p>","76","","","","PLATE","green","l","Practice","true"
"null","","Feedback","html-keyboard-response",17,35733,"0.0-6.0-2.3","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",18,35987,"0.0-6.0-0.4","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"695.7149999943795","","Practice","html-keyboard-response",19,36685,"0.0-6.0-1.4","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>CLOCK</p>","74","","","","CLOCK","red","j","Practice","true"
"null","","Feedback","html-keyboard-response",20,36692,"0.0-6.0-2.4","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",21,36945,"0.0-6.0-0.5","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"529.0700000041397","","Practice","html-keyboard-response",22,37477,"0.0-6.0-1.5","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>UNDER</p>","75","","","","UNDER","yellow","k","Practice","true"
"null","","Feedback","html-keyboard-response",23,37484,"0.0-6.0-2.5","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",24,37738,"0.0-6.0-0.6","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"769.5549999916693","","Practice","html-keyboard-response",25,38509,"0.0-6.0-1.6","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>MONTH</p>","75","","","","MONTH","yellow","k","Practice","true"
"null","","Feedback","html-keyboard-response",26,38517,"0.0-6.0-2.6","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",27,38770,"0.0-6.0-0.7","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"648.8499999977648","","Practice","html-keyboard-response",28,39421,"0.0-6.0-1.7","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>PLATE</p>","74","","","","PLATE","red","j","Practice","true"
"null","","Feedback","html-keyboard-response",29,39429,"0.0-6.0-2.7","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",30,39683,"0.0-6.0-0.8","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"535.2050000074087","","Practice","html-keyboard-response",31,40220,"0.0-6.0-1.8","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>PLATE</p>","74","","","","PLATE","yellow","k","Practice","false"
"null","","Feedback","html-keyboard-response",32,41224,"0.0-6.0-2.8","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",33,41480,"0.0-6.0-0.9","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"498.6149999895133","","Practice","html-keyboard-response",34,41981,"0.0-6.0-1.9","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>UNDER</p>","74","","","","UNDER","red","j","Practice","true"
"null","","Feedback","html-keyboard-response",35,41988,"0.0-6.0-2.9","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",36,42241,"0.0-6.0-0.10","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"433.7050000031013","","Practice","html-keyboard-response",37,42677,"0.0-6.0-1.10","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>CLOCK</p>","76","","","","CLOCK","green","l","Practice","true"
"null","","Feedback","html-keyboard-response",38,42681,"0.0-6.0-2.10","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"null","","Fixation","html-keyboard-response",39,42934,"0.0-6.0-0.11","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>","null","","","","","","","",""
"483.4700000064913","","Practice","html-keyboard-response",40,43421,"0.0-6.0-1.11","spgjb2swaq9anlz",1588022879776,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>MONTH</p>","76","","","","MONTH","green","l","Practice","true"
"null","","Feedback","html-keyboard-response",41,43426,"0.0-6.0-2.11","spgjb2swaq9anlz",1588022879776,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>","null","","","","","","","",""
"1395.7499999960419","","Survey","survey-text",42,44829,"0.0-7.0-0.0-0.0","spgjb2swaq9anlz",1588022879776,"","","","true","{""Par_Age"":""15""}","","","","",""
"2747.9650000022957","","Survey","survey-html-form",43,47583,"0.0-7.0-1.0","spgjb2swaq9anlz",1588022879776,"","","","true","{""Gender_Q"":""Male"",""other_gender_fill_in"":""""}","","","","",""
"1475.3749999945285","","Survey","survey-html-form",44,49061,"0.0-7.0-2.0","spgjb2swaq9anlz",1588022879776,"","","","true","{""Country_Q"":""USA"",""other_country_fill_in"":""""}","","","","",""
"1854.9300000013318","","Survey","survey-text",45,50926,"0.0-7.0-3.0","spgjb2swaq9anlz",1588022879776,"","","","true","{""Par_ID"":""junk""}","","","","",""
"","","","fullscreen",46,51928,"0.0-8.0","spgjb2swaq9anlz",1588022879776,"","","true","","","","","","",""
